(6197.314910888672, 760.8578033447266)
(6197.316833496094, 760.8576202392578)
(6197.319732666016, 760.8545532226562)
(7556.072334289551, 761.2153625488281)
(7556.0703125, 761.2169952392578)
(7558.585732460022, 761.3137512207031)
(6079.7762451171875, 967.3491821289062)
(6079.785491943359, 967.3442687988281)
(6197.306701660156, 760.856689453125)
(6079.782913208008, 967.345947265625)
(6197.309539794922, 760.8577880859375)
(6197.312614440918, 760.8558044433594)
(7556.075325012207, 761.2178497314453)
(7556.072967529297, 761.219482421875)
(7558.575785160065, 761.3175659179688)
(8135.195983886719, 967.3616333007812)
(8135.191909790039, 967.36181640625)
(8135.189437866211, 967.3624267578125)
(8797.441802978516, 963.5103149414062)
(8804.081787109375, 963.6100158691406)
(8804.079986572266, 963.6110229492188)
(10058.765441894531, 969.318603515625)
(10058.762451171875, 969.3063354492188)
(10058.762657165527, 969.3061828613281)
(6079.769287109375, 967.3222045898438)
(6079.772033691406, 967.3321533203125)
(6079.770446777344, 967.3346557617188)
(7587.077911376953, 1056.2022094726562)
(7587.078125, 1056.20068359375)
(7587.08545589447, 1056.2022094726562)
(8135.131896972656, 967.3926696777344)
(8135.177383422852, 967.3890686035156)
(8135.178314208984, 967.3939514160156)
(8797.430206298828, 963.4952239990234)
(8804.08334350586, 963.600830078125)
(8804.081436157227, 963.5998229980469)
(10058.7587890625, 969.3003234863281)
(10058.753662109375, 969.2898864746094)
(10170.485900878906, 1113.4654846191406)
(10058.754402160645, 969.2896728515625)
(10170.480529785156, 1113.4657287597656)
(10170.480545043945, 1113.4754028320312)
(6079.769989013672, 967.3181533813477)
(6079.772918701172, 967.3252410888672)
(6079.770263671875, 967.329999923706)
(7587.0777587890625, 1056.1951904296875)
(7587.077850341797, 1056.1971740722656)
(7587.085567474365, 1056.2022094726562)
(8135.134033203125, 967.3955707550049)
(8135.177810668945, 967.3869915008545)
(8135.178825378418, 967.3899612426758)
(8797.437484741211, 963.4900588989258)
(8804.083450317383, 963.5975170135498)
(8804.082084655762, 963.5953750610352)
(10058.764373779297, 969.3037109375)
(10058.759735107422, 969.2928009033203)
(10170.2861328125, 1115.9488220214844)
(10058.76010131836, 969.2939529418945)
(10170.286071777344, 1115.9517517089844)
(10170.28406906128, 1115.965576171875)
(5929.577331542969, 1350.7689208984375)
(5929.577255249023, 1350.7728881835938)
(5929.579856872559, 1350.76953125)
(6934.83203125, 1368.0293884277344)
(6934.830459594727, 1368.032470703125)
(6934.828803539276, 1368.0260009765625)
(7587.079345703125, 1056.1980066299438)
(7587.080291748047, 1056.2000722885132)
(7765.370758056641, 1349.2958374023438)
(7765.378616333008, 1349.23291015625)
(7587.086738586426, 1056.2080459594727)
(7765.377960205078, 1349.2350463867188)
(10170.284484863281, 1115.9513854980469)
(10170.28532409668, 1115.9537200927734)
(10170.284122467041, 1115.9641571044922)
(5929.5743408203125, 1350.75634765625)
(5929.567779541016, 1350.7729797363281)
(5929.570541381836, 1350.773178100586)
(6934.692443847656, 1369.2029571533203)
(6934.684585571289, 1369.2241516113281)
(6934.685577392578, 1369.228500366211)
(7765.371002197266, 1349.3001861572266)
(7765.378646850586, 1349.2303619384766)
(7765.380859375, 1349.2253723144531)
(5929.572723388672, 1350.7578659057617)
(5929.565963745117, 1350.7746963500977)
(5929.568069458008, 1350.7738208770752)
(6934.6934814453125, 1369.2029876708984)
(6934.684005737305, 1369.2241973876953)
(6934.685532093048, 1369.2284545898438)
(7765.3741455078125, 1349.292381286621)
(7765.380310058594, 1349.2221069335938)
(7765.381927490234, 1349.2223205566406)
(9001.692352294922, 1576.2309265136719)
(9001.688766479492, 1576.244140625)
(9001.728332519531, 1576.25341796875)
(7966.740783691406, 1658.2909851074219)
(7966.739562988281, 1658.2870483398438)
(7966.798854827881, 1658.3451538085938)
(8723.201354980469, 1738.6751708984375)
(8723.198684692383, 1738.6643371582031)
(8723.192182540894, 1738.6654052734375)
(9001.691711425781, 1576.2286987304688)
(9001.689407348633, 1576.2434997558594)
(9001.729782104492, 1576.2523193359375)
(7966.740173339844, 1658.2855529785156)
(7966.739456176758, 1658.280632019043)
(7966.798528671265, 1658.3453521728516)
(8723.193603515625, 1738.6725769042969)
(8723.192474365234, 1738.6661376953125)
(8723.190240859985, 1738.6609191894531)
(9001.68896484375, 1576.2350301742554)
(9001.688110351562, 1576.2432088851929)
(9001.687210083008, 1576.242389678955)
(10167.587524414062, 1781.9519653320312)
(10167.585021972656, 1781.9590454101562)
(10167.579391479492, 1781.960952758789)
(6137.736404418945, 1918.4907531738281)
(6137.7381591796875, 1918.4917602539062)
(7165.3984375, 1918.4560241699219)
(7165.399703979492, 1918.4595031738281)
(7171.214104175568, 1918.1651000976562)
(8135.1611328125, 1918.5569152832031)
(8135.154067993164, 1918.5625305175781)
(8135.1528396606445, 1918.5720977783203)
(8723.193908691406, 1738.6734619140625)
(8723.193542480469, 1738.670181274414)
(8723.1932888031, 1738.6664657592773)
(10018.029693603516, 1919.9922180175781)
(10167.5859375, 1781.9505004882812)
(10018.029541015625, 1919.9951477050781)
(10167.585632324219, 1781.9540328979492)
(10018.033855438232, 1919.9953002929688)
(10167.578224182129, 1781.961181640625)
(6137.736083984375, 1918.4827346801758)
(6137.7379150390625, 1918.4852294921875)
(7165.3934326171875, 1918.4386672973633)
(7165.387100219727, 1918.4746475219727)
(7171.23183965683, 1918.16064453125)
(8135.162292480469, 1918.5477600097656)
(8135.155456542969, 1918.5493927001953)
(8135.153221130371, 1918.5612869262695)
(9179.945571899414, 2022.0213928222656)
(9185.131286621094, 2022.0947265625)
(9185.133163452148, 2022.0985107421875)
(10018.028564453125, 1919.9898834228516)
(10018.02914428711, 1919.9856872558594)
(10018.032272338867, 1919.9912567138672)
(5852.185852050781, 2198.0902404785156)
(5857.2249755859375, 2197.9649047851562)
(5857.2178955078125, 2197.9896545410156)
(6137.88249206543, 1923.6613612174988)
(6137.892875671387, 1923.6820044517517)
(6986.205078125, 2197.9371032714844)
(6986.268859863281, 2197.9661865234375)
(6986.268173217773, 2197.9552612304688)
