(3113.5780639648438, 1365.8795776367188)
(3113.5809020996094, 1365.8789978027344)
(3113.584602355957, 1365.8805236816406)
(3113.5904541015625, 1366.2107391357422)
(3113.5906677246094, 1366.2164611816406)
(3113.5993690490723, 1366.20556640625)
(3113.592529296875, 1366.2084350585938)
(3161.3451080322266, 1620.879150390625)
(3113.594512939453, 1366.2088317871094)
(3236.6756286621094, 1512.7637176513672)
(3165.5084075927734, 1620.9267272949219)
(3113.5922775268555, 1366.2161865234375)
(3236.6734008789062, 1512.7688903808594)
(3165.507827758789, 1620.9276428222656)
(3236.6713104248047, 1512.7695617675781)
(4891.0079345703125, 1617.9044189453125)
(4891.008087158203, 1617.8974609375)
(4891.0107498168945, 1617.8926696777344)
(3161.3841247558594, 1620.9116821289062)
(3236.6942138671875, 1512.7284774780273)
(3165.596405029297, 1620.8458099365234)
(3236.6885528564453, 1512.7426300048828)
(3165.5908813476562, 1620.8572082519531)
(3236.667865753174, 1512.7682495117188)
(4890.983093261719, 1617.8965148925781)
(4890.984069824219, 1617.884780883789)
(4890.995010375977, 1617.8905639648438)
(3162.2344970703125, 1620.859504699707)
(3165.641143798828, 1620.884407043457)
(3165.6328201293945, 1620.888786315918)
(4890.914733886719, 1617.9095764160156)
(4890.980743408203, 1617.8887939453125)
(4890.990734100342, 1617.8861541748047)
(3226.6702270507812, 1955.1802978515625)
(3330.990234375, 1893.0860900878906)
(3226.673599243164, 1955.1846923828125)
(3330.9926795959473, 1893.1050720214844)
(3226.6715602874756, 1955.2021789550781)
(3334.03266620636, 1892.9606323242188)
(4453.101287841797, 1993.41943359375)
(4453.103897094727, 1993.410888671875)
(5133.725769042969, 1934.2191772460938)
(5133.7147216796875, 1934.2204895019531)
(5133.7406005859375, 1934.2542114257812)
(3082.3389282226562, 2069.5973510742188)
(3082.360019683838, 2069.5956420898438)
(3226.5887451171875, 1955.239486694336)
(3082.532271385193, 2069.614501953125)
(3330.9964599609375, 1893.1073150634766)
(3226.5890045166016, 1955.2402954101562)
(3330.994888305664, 1893.1155853271484)
(3226.5864791870117, 1955.2606201171875)
(3577.035614013672, 2077.9271545410156)
(3334.722671031952, 1893.0036315917969)
(3577.057388305664, 2077.9924926757812)
(4445.459808349609, 1993.2931823730469)
(4453.108001708984, 1993.391845703125)
(4453.109100341797, 1993.3804473876953)
(5133.727478027344, 1934.2204284667969)
(5133.723190307617, 1934.2239227294922)
(5133.756406784058, 1934.2545166015625)
(3025.7666931152344, 2267.174560546875)
(3082.3609313964844, 2069.595458984375)
(3025.784698486328, 2266.484588623047)
(3082.360866546631, 2069.5951232910156)
(3226.592742919922, 1955.2369766235352)
(3025.7866287231445, 2266.4902954101562)
(3082.5298137664795, 2069.611038208008)
(3226.597442626953, 1955.2291717529297)
(3226.593948364258, 1955.2517204284668)
(3577.0440826416016, 2077.9181213378906)
(3577.0530700683594, 2077.9420166015625)
(3851.060302734375, 2225.894287109375)
(3851.085418701172, 2225.929473876953)
(3851.129538536072, 2225.9014892578125)
